CI*	1156.1992	0.000799	2390000
CI**	1156.3895	0.00181	15100000
CI**	1156.5603	0.00539	26900000
CI*	1156.7697	0.00878	26200000
CI	1157.9097	0.0212	35100000
CI**	1158.0188	0.0157	55600000
CI*	1158.1299	0.00397	19700000
CI**	1158.1317	0.00519	25800000
CI	1158.324	0.00655	10900000
CI**	1158.3971	0.00165	8190000
CI*	1158.5443	0.000675	3350000
CI*	1158.6744	0.00147	21900000
CI**	1158.9068	0.00101	8360000
MnII	1162.015	0.0102	39000000
GeII	1164.272	0.28	1380000000
KrI	1164.8672	0.188	309000000
AsII	1181.538	0.0309	49200000
CI	1188.8329	0.0124	19500000
CI*	1188.9928	0.00507	71700000
CI*	1189.065	0.00426	20100000
CI*	1189.2488	0.00385	10900000
CI**	1189.4468	0.00376	29600000
CI**	1189.6307	0.0112	52700000
SIII	1190.203	0.0237	66500000
SiII	1190.4158	0.292	4080000000
CI	1192.2158	0.00137	2150000
CI*	1192.4492	0.00162	7600000
CI*	1193.0085	0.0281	79000000
CI	1193.03	0.0409	63900000
CI**	1193.2401	0.0332	111000000
CI*	1193.2637	0.00913	42900000
SiII	1193.2897	0.582	4070000000
CI**	1193.3928	0.00738	34600000
CI**	1193.6483	0.000288	2250000
CI*	1193.6786	0.00905	25400000
CI	1193.9954	0.0124	19400000
CI**	1194.0634	0.00636	29800000
CI*	1194.2295	0.00178	8330000
CI*	1194.301	0.00905	4100000
CI*	1194.4055	0.00314	44000000
CI**	1194.4885	0.00203	6770000
SiII*	1194.5002	0.727	4080000000
CI**	1194.6146	0.00227	17700000
AgII	1195.883	0.0369	345000000
MnII	1197.184	0.1566	784000000
SiII*	1197.3938	0.145	4070000000
MnII	1199.391	0.1059	785000000
NI	1199.5496	0.132	407000000
NI	1200.2233	0.0869	402000000
NI	1200.7098	0.0432	400000000
MnII	1201.118	0.08809	785000000
PdII	1203.96	0.132	454000000
SiIII	1206.5	1.63	2480000000
AsII	1207.449	0.0234	35600000
FeIII	1214.562	0.000239	1390000
DI	1215.3394	0.4165	627000000
HI	1215.6701	0.4164	626500000
PdII	1218.618	0.0585	263000000
PdII	1235.191	0.04	262000000
KrI	1235.838	0.204	298000000
GeII	1237.0591	1.23	2680000000
NV	1238.821	0.156	339100000
MgII	1239.9253	0.000632	1370000
MgII	1240.3947	0.000356	1540000
NV	1242.804	0.077	335600000
SII	1250.578	0.00543	46300000
SII	1253.805	0.0109	46200000
SII	1259.518	0.0166	46500000
SiII	1260.4221	1.18	2950000000
FeII	1260.533	0.024	126000000
CI	1260.7351	0.0507	240000000
CI*	1260.9262	0.0175	241000000
CI*	1260.9961	0.0134	240000000
CI*	1261.1224	0.0202	236000000
CI**	1261.4255	0.0131	240000000
CI**	1261.5519	0.0391	236000000
AsII	1263.77	0.259	361000000
SiII*	1264.7377	1.05	2930000000
SiII*	1265.002	0.117	2950000000
CI	1270.1432	0.000386	531000
CI*	1270.4081	4.51E-05	186000
CI**	1270.844	1.45E-08	99.7
CI	1276.4822	0.00589	8030000
CI*	1276.7498	0.00308	12600000
CI**	1277.19	0.000322	2200000
CI	1277.2452	0.0853	232000000
CI*	1277.2827	0.0666	246000000
CI*	1277.5131	0.021	232000000
CI**	1277.5501	0.0763	244000000
CI**	1277.7233	0.0153	246000000
CI**	1277.9539	0.000817	232000000
CI*	1279.0562	0.000708	1730000
CI**	1279.229	0.00214	6240000
CI**	1279.498	0.000456	1860000
CI*	1279.8907	0.0143	117000000
CI	1280.1352	0.0263	106000000
CI**	1280.3331	0.0152	117000000
CI*	1280.4043	0.0044	106000000
CI*	1280.5975	0.00704	105000000
CI**	1280.8471	0.00522	106000000
CI*	1287.6076	6.03E-05	146000
CI**	1288.0553	2.01E-05	80900
SI	1295.6531	0.087	346000000
TiIII	1295.884	0.0418	166000000
TiIII	1298.697	0.0964	635000000
PII	1301.8743	0.0127	48200000
OI	1302.1685	0.048	565000000
SiII	1304.3702	0.0863	1010000000
OI*	1304.8576	0.0478	565000000
OI**	1306.0286	0.0478	565000000
SiII*	1309.2757	0.086	1010000000
NiII	1317.217	0.146	420500000
PdII	1320.018	0.122	468000000
C3I	1328.826	0.0758	287000000
CI	1328.8333	0.0758	288000000
C3I*	1329.079	0.0254	287000000
CI*	1329.0849	0.0254	289000000
C3I*	1329.093	0.0313	287000000
CI*	1329.1004	0.0313	287000000
C3I*	1329.116	0.0191	287000000
CI*	1329.1233	0.0191	288000000
C3I**	1329.571	0.0569	287000000
CI**	1329.5775	0.0569	287000000
C3I**	1329.593	0.0189	287000000
CI**	1329.6004	0.0189	288000000
CII	1334.5323	0.1278	288000000
PIII	1334.8132	0.0282	63200000
CII*	1335.6627	0.01277	288000000
CII*	1335.7077	0.115	288000000
ClI	1347.2396	0.153	662000000
SeI	1353.899	0.0503	131000000
OI	1355.5977	1.16E-06	5560
CuII	1358.773	0.263	720000000
BII	1362.463	0.996	1190000000
PdII	1367.7	0.0712	254000000
CuII	1367.9509	0.179	623000000
NiII	1370.132	0.0769	410000000
PdII	1374.843	0.036	127000000
NiII	1393.324	0.02222	34700000
SiIV	1393.76018	0.513	880000000
SnII	1400.45	0.79	100000000
SiIV	1402.77291	0.254	862000000
PdII	1403.552	0.0328	83400000
SeI	1405.382	0.105	254000000
GaII	1414.402	1.77	1970000000
CoII	1424.7866	0.0109	35800000
PbII	1433.905	0.87	100000000
