# not necessarily q
??    1215.6701 0.416400  6.265E8  1.00 No ID NOTE:DON'T USE TABS AS SEPARATORS
C I*  1194.2295 0.00178   8.33E6   M03g Aki
C I*  1194.4055 0.00314   4.40E7   M03g Aki
C I** 1194.0634 0.00636   2.98E7   M03g Aki
C I** 1194.6146 0.00227   1.77E7   M03g Aki
C I   1260.7351 0.050700  2.400e8  M03g-9u
C I*  1260.9262 0.0175    2.41e8   M03g
C I*  1260.9961 0.0134    2.40e8   M03g
C I*  1261.1224 0.0202    2.36e8   M03g
C I** 1261.4255 0.0131   2.40e8   M03g
C I** 1261.5519 0.0391   2.36e8   M03g
C I   1270.1432 3.86e-4   5.31e5   M03-8.01u Aki
C I*  1270.4081 4.51e-5   1.86E5   M03 Aki
C I** 1270.8440 1.45e-8   9.97e1   M03 Aki
C I   1276.4822 0.005890  8.030E6  M03-7.01u
C I*  1276.7498 0.00308   1.26e7   M03
C I** 1277.190  0.000322  2.20e6   M03
C I   1277.2452 0.085300  2.320E8  M03g-7u
C I*  1277.2827 0.0666    2.46e8   M03g
C I*  1277.5131 0.0210    2.32e8   M03g
C I** 1277.5501 0.0763    2.44e8   M03g
C I** 1277.7233 0.0153    2.46e8   M03g
C I** 1277.9539 0.000817  2.32e8   M03g
C I*  1279.0562 0.000708  1.73e6   M03-6u Aki
C I** 1279.2290 0.00214   6.24e6   M03 Aki
C I** 1279.4980 0.000456  1.86e6   M03 Aki
C I   1280.1352 0.026300  1.060E8  M03g-5u
C I*  1279.8907 0.0143    1.17e8   M03g
C I*  1280.4043 0.00440   1.06e8   M03g
C I*  1280.5975 0.00704   1.05e8   M03g
C I** 1280.3331 0.0152    1.17e8   M03g
C I** 1280.8471 0.00522   1.06e8   M03g
C I*  1287.6076 6.03E-5   1.46E5   M03 Aki
C I** 1288.0553 2.01e-5   8.09E4   M03 Aki
C I   1328.8333 0.075800  2.880E8  M03g-4u
C I*  1329.0849 0.0254    2.89e8   M03g
C I*  1329.1004 0.0313    2.87e8   M03g
C I*  1329.1233 0.0191    2.88e8   M03g
C I** 1329.5775 0.0569    2.87e8   M03g
C I** 1329.6004 0.0189    2.88e8   M03g
C I   1560.3092 0.077400  1.270e8  12.011 137  M03g-3u
C I*  1560.6820 0.058100  1.270E8  M03g
C I*  1560.7089 0.019300  1.270E8  M03g
C I** 1561.3399 0.011600  1.270E8  M03 g
C I** 1561.3668 0.000772  1.270E8  M03 g
C I** 1561.4378 0.064900  1.270E8  M03 g
C I   1656.9284 0.149000  3.600e8  12.011 -24  M03g-2u
C I*  1656.2672 0.062100  3.610e8  M03g
C I*  1657.3792 0.037100  3.600E8  M03g
C I*  1657.9071 0.049400  3.600E8  M03g
C I** 1657.0081 0.111000  3.610E8  M03 g
C I** 1658.1211 0.037100  3.610e8  M03 g
C II  1334.5323 0.127800  2.880e8  M03 g
C II  1036.3367 0.118000  2.200e9  M03 g
C II* 1335.7077 0.115000  2.880e8  M03 g
C II* 1335.6627 0.012770  2.880e8  M03 g
C II* 1037.0182 0.118000  2.200e9  M03 g
C III  977.0201 0.757000  1.760E9   M03 g
C IV  1548.2049 0.189900  2.642E8   M03 g w:Petitjean/Aracil A&A 2004
C IV  1550.77845 0.094750  2.628E8  M03 g w:Petitjean/Aracil for l-ratio
N I   1200.7098 0.0432  4.00e8  14.00674  M03g A&G:6.496
N I   1200.2233 0.0869  4.02e8  M03g
N I   1199.5496 0.1320  4.07e8  M03g
N 34  1134.9803 0.0416  1.44e8  M03g
N 34  1134.4149 0.0278  1.49e8  M03g
N34   1134.1653 0.0146  1.51e8  M03g
N I    965.0413 3.86E-3 8.16e7  M03g
N I    964.6256 7.90e-3 8.31e7  M03g
N I    963.9903 1.24e-2 8.55e7  M03g
N I    954.1042 4.00e-3 1.41e8  M03g
N I    953.9699 3.31e-2 2.03e8  M03g
N I    953.6549 2.47e-2 2.10e8  M03g
N I    953.4152 1.29e-2 2.19e8  M03g
N II  1083.9937 0.111   3.74e8  M03g
N II   915.6131 0.159   1.27e9  M03g
N III  989.799  0.123   5.00e8   M03g
N V   1238.821  0.1560  3.391e8   M03g
N V   1242.804  0.0770  3.356e8   M03g
