      1135.43      0.00000  5.75135e-16  1.61340e-14
      1135.46  1.65231e-14  3.26144e-15  1.61333e-14
      1135.49  1.18879e-14  2.78448e-15  1.61327e-14
      1135.52  1.02498e-14  2.59444e-15  1.61320e-14
      1135.55  1.43456e-14  3.04350e-15  1.61314e-14
      1135.58  1.21395e-14  2.81136e-15  1.61307e-14
      1135.61  9.92057e-15  2.55397e-15  1.61301e-14
      1135.64  1.23762e-14  2.83543e-15  1.61294e-14
      1135.67  1.72525e-14  3.32426e-15  1.61288e-14
      1135.70  1.95533e-14  3.53049e-15  1.61281e-14
      1135.73  1.50958e-14  3.11519e-15  1.61275e-14
      1135.76  1.43660e-14  3.04080e-15  1.61268e-14
      1135.79  1.13227e-14  2.71346e-15  1.61262e-14
      1135.82  1.45301e-14  3.05482e-15  1.61255e-14
      1135.85  1.53259e-14  3.13282e-15  1.61249e-14
      1135.88  2.18573e-14  3.71897e-15  1.61242e-14
      1135.91  1.22639e-14  2.81456e-15  1.61236e-14
      1135.94  1.19044e-14  2.77395e-15  1.61230e-14
      1135.97  1.92688e-14  3.49478e-15  1.61223e-14
      1136.00  1.32080e-14  2.91304e-15  1.61217e-14
      1136.03  1.52691e-14  3.12101e-15  1.61210e-14
      1136.06  1.21807e-14  2.80011e-15  1.61204e-14
      1136.09  2.00698e-14  3.55956e-15  1.61197e-14
      1136.12  1.49369e-14  3.08528e-15  1.61191e-14
      1136.15  1.49314e-14  3.08380e-15  1.61185e-14
      1136.18  1.49893e-14  3.08913e-15  1.61178e-14
      1136.21  1.53978e-14  3.12855e-15  1.61172e-14
      1136.24  1.87544e-14  3.43986e-15  1.61165e-14
      1136.27  1.54177e-14  3.12834e-15  1.61159e-14
      1136.30  1.38800e-14  2.97308e-15  1.61153e-14
      1136.33  2.02512e-14  3.56642e-15  1.61146e-14
      1136.36  2.08419e-14  3.61614e-15  1.61140e-14
      1136.39  1.91872e-14  3.47289e-15  1.61134e-14
      1136.42  1.58949e-14  3.16987e-15  1.61127e-14
      1136.45  1.73655e-14  3.30727e-15  1.61121e-14
      1136.48  1.49937e-14  3.08039e-15  1.61115e-14
      1136.51  1.40595e-14  2.98648e-15  1.61108e-14
      1136.54  1.16946e-14  2.73469e-15  1.61102e-14
      1136.57  1.50081e-14  3.07847e-15  1.61096e-14
      1136.60  1.61717e-14  3.19001e-15  1.61089e-14
      1136.63  1.47912e-14  3.05519e-15  1.61083e-14
      1136.66  1.24393e-14  2.81134e-15  1.61077e-14
      1136.69  1.87087e-14  3.41975e-15  1.61070e-14
      1136.72  1.27204e-14  2.83944e-15  1.61064e-14
      1136.75  1.69035e-14  3.25467e-15  1.61058e-14
      1136.78  1.58206e-14  3.15278e-15  1.61051e-14
      1136.81  1.46183e-14  3.03603e-15  1.61045e-14
      1136.84  1.47639e-14  3.04974e-15  1.61039e-14
      1136.87  1.72758e-14  3.28808e-15  1.61032e-14
      1136.90  1.40096e-14  2.97319e-15  1.61026e-14
      1136.93  1.14704e-14  2.70333e-15  1.61020e-14
      1136.96  1.49020e-14  3.06121e-15  1.61014e-14
      1136.99  1.81488e-14  3.36465e-15  1.61007e-14
      1137.02  2.16121e-14  3.66025e-15  1.61001e-14
      1137.05  2.12732e-14  3.63142e-15  1.60995e-14
      1137.08  1.68383e-14  3.24294e-15  1.60989e-14
      1137.11  1.35647e-14  2.92310e-15  1.60982e-14
      1137.14  1.11105e-14  2.65879e-15  1.60976e-14
